id,Question,A,B,C,D,answer,explanation,score
13,YonBIP人力云的核心理念是什么？,提供单一功能的人力资源管理工具,构建封闭的内部人力资源管理体系,赋能员工、激活组织，通过数字化技术连接人与团队、人与信息,专注于传统人力资源管理，避免数字化转型,C,根据原文中提到的'产品理念'为'赋能员工、激活组织，通过数字化技术连接人与团队、人与信息'，这与C选项表述完全一致，因此C选项是正确的。A、B、D选项均与原文描述不符，故排除。,1.0
14,用友财务云-税务服务关注解决企业运营中的哪些问题？,税务及发票管理,供应链管理,人力资源管理,市场营销,A,根据<原文>描述，用友财务云-税务服务专注于解决企业运营中涉及税务及发票的管理、核算、申报、风险管控等方面的问题。因此，选项A.税务及发票管理是正确的答案，<回答>选择了A，故回答准确性为1。,1.0
15,以下是用友YonBIP V3.0(R5_2312)YonSuite公有云发版说明中提到的采购云核心功能之一，哪一项不是其提供的服务？,供应商关系管理,采购寻源,质量协同,客户服务,D,根据原文中所提供的产品范围和服务内容，明确指出采购云核心功能涉及的服务包括供应商关系管理、采购寻源、质量协同等，但并未提及客户服务作为其提供的服务之一。因此，选择D（客户服务）作为不属于采购云核心功能之一是正确的。,1.0
16,用友YonBIP V3.0(R5_2312)超级版公有云发版说明中，共享服务产品支持的创建中心类型有哪些？,财务共享服务中心,人力资源共享服务中心,生产共享服务中心,营销共享服务中心,AB,根据<原文>中提到的共享服务产品支持创建的中心类型，确实只有财务共享服务中心（FSSC）和人力资源共享服务中心（HRSSC）被提及，因此<回答>中的AB选项完全吻合<选择题>的正确答案。,1.0
17,用友YonBIP V3.0(R5_2312)YonSuite公有云发版说明中，企业绩效服务不包括以下哪个子领域？,企业报表,合并报表,预算执行控制,供应链管理,D,根据原文中的产品范围表格，企业绩效服务的子领域包括企业报表、合并报表、预算执行控制和EPM数据归集，但供应链管理并未被列为子领域之一。因此，D选项（供应链管理）是正确答案，回答准确性为满分。,1.0
18,"以下是用友YonBIP V3.0(R5_2312)YonSuite公有云发版说明中提到的制造云产品目标客户,除了?",多工厂的制造企业,多制造模式的制造企业,需要提升综合竞争力的制造企业,服务行业的小微企业,D,根据<原文>中第一章产品概述的第一段，明确指出YonSuite制造云的目标客户为：多工厂、多制造模式的制造企业。因此，选项D（服务行业的小微企业）显然不是目标客户群体，<回答>选择了D，完全符合<原文>信息，故回答准确性得分为1。,1.0
19,用友YonBIP V3.0(R5_2312_1)旗舰版私有云发版说明中提到的智能收单终端主要解决了什么问题？,提高了智能审核的准确率,实现了共享中心与非共享中心的无缝对接,解决了员工报销过程中异地实物交收难、影像处理效率低等问题,优化了共享中心的人员绩效评价体系,C,根据原文中关于智能收单终端的部分描述，智能收单终端确实解决了员工报销过程中异地实物交收难、影像处理效率低等问题。原文明确指出：智能收单终端与费控服务对接，为企业全员报账提供实物交收服务，解决员工报销过程中异地实物交收难、影像处理效率低、查验不便捷、人工审核繁琐等问题，有效缩短报账处理周期，提高员工报账效率。因此，<回答> C 是解决员工报销过程中异地实物交收难、影像处理效率低等问题，与<选择题>中的 C 选项完全吻合。,1.0
20,用友YonBIP财务云平台的核心技术特征不包括？,微服务,中台化,智能化,功能模块化,D,在提供的原始文本中，详细描述了用友YonBIP财务云平台的功能和技术特点，包括微服务、中台化、智能化等多个方面。然而，功能模块化并不是作为一个独立的技术特征被提及，而是体现在平台架构和各个服务模块的设计中，因此D选项（功能模块化）确实不属于平台的核心技术特征之一。,1.0
21,用友YonBIP财务云平台的核心技术特征不包括？,微服务,云原生,平台化,功能化和模块化,D,根据原文提供的信息，用友YonBIP财务云平台的核心技术特征包括微服务、云原生、以及平台化。原文中并没有提到'功能化和模块化'作为一个明确的技术特征，因此D选项是正确的。回答者选择了D，这与题目要求的正确答案相符，故回答准确性得分为1。,1.0
22,"用友YonBIP V3.0(R5_2312)超级版公有云发版中, 低代码开发平台YonBuilder的核心能力聚焦于哪四个方面?",模型、事件、自动化、集成,编码、测试、部署、运维,设计、开发、测试、发布,架构、编码、测试、监控,A,"根据原文中的描述：""低代码开发平台YonBuilder，基于数字化建模，基于结合自身的平台、通用领域和行业应用，以及多行业不同规模客户的优势，重点聚焦企业级应用所需要要的低代码平台核心能力：模型、事件、自动化、集成。"" 回答A: 模型、事件、自动化、集成 正确对应了原文提到的低代码开发平台YonBuilder的核心能力，因此，回答准确性得分为1。",1.0
23,用友YonBIP V3.0(R5_2312)超级版公有云发版说明中，企业绩效服务不包括以下哪一项？,企业报表,项目管理,合并报表,计划预算,B,根据<原文>中'产品范围'章节下'企业绩效服务'列出了包含的子领域和服务，明确指出了'企业绩效服务'下包括'企业报表'、'合并报表'、'计划预算'、'预算执行控制'和'EPM数据归集'，但并未提及'项目管理'。因此，<回答>B（项目管理）是正确的。,1.0
24,用友YonBIP V3.0(R5_2312_1)旗舰版私有云发版说明中，低代码开发平台YonBuilder主要聚焦的企业级应用低代码平台核心能力不包括？,模型,事件,自动化,数据库,D,在<原文>中明确提到了低代码开发平台YonBuilder聚焦的企业级应用低代码平台核心能力包括模型、事件、自动化、集成，而没有提到数据库，因此D选项（数据库）是正确答案，<回答>选择D，故回答准确性为1。,1.0
25,在YonSuite的组织管理中，如果需要对新建的业务单元进行维护权限的控制，应设置哪个参数？,业务单元维护受组织权限控制,部门维护受组织权限控制,UI模板权限控制,消息模板权限控制,A,"根据原文中的描述：""如果需要进行组织、部门新建之后的维护权限管控，则需进行设置：业务单元维护受组织权限控制；部门维护受组织权限控制。"" 由此可知，对于新建的业务单元进行维护权限的控制，应设置的参数是「业务单元维护受组织权限控制」，即选项A。回答与原文信息一致，故回答准确性为满分。",1.0
26,以下是用友公司YonBIP V3.0版本中财资服务的关键特性，哪一项描述不正确？,实现结算中台化，集中处理资金收付,提供集团资金管控，支持资金集中管理,银企联提供银行通道，支持财资管理直连银行服务的数据传递,不支持智能化场景，如智能配票和自动辨识生单,D,在提供的原始文本中，没有找到任何信息表明用友公司YonBIP V3.0版本的财资服务不支持智能化场景。相反，原文提到'支持智能化场景，包含：支持智能配票场景；支持通过智能规则自动进行银行对账单自动辨识、自动生单及电子回单自动归档等。'这直接反驳了D选项的说法，因此D选项是不正确的描述。,1.0
27,YonBIP人力云的核心理念是什么？,提供单一功能的人力资源管理工具,聚焦于传统线下业务流程,仅服务于中小型企业的人力资源需求,通过数字化技术连接人与团队，赋能员工与激活组织,D,根据原文中提到的'以赋能员工、激活组织为产品理念，通过数字化技术连接人与团队、人与信息，贯通线上与线下业务'，这直接对应了D选项的描述'通过数字化技术连接人与团队，赋能员工与激活组织'，因此回答准确性为满分1。,1.0
28,用友YonBIP V3.0(R5_2312_1)旗舰版私有云发版说明中提到的'财务云-企业绩效服务篇'涵盖的功能不包括？,企业绩效平台,企业报表,采购云,预算执行控制,C,根据原文提供的信息，'财务云-企业绩效服务篇'涵盖了企业绩效平台、企业报表、合并报表、计划预算和预算执行控制等功能，而采购云并未提及在该服务篇中，因此C选项'采购云'是正确的答案。回答'C'准确地指出了选择题中的不包括项。,1.0
29,用友YonBIP人力云的核心理念是什么？,提供单一功能的人力资源管理模块,覆盖核心人力资源管理与人才管理的一体化数字化平台,专注于提供线下人力资源管理服务,仅提供人力资源领域的第三方集成配置服务,B,根据原文中提到的'人力云完整覆盖了核心人力资源管理与人才管理，提供一体化、数字化创新应用。'和'YonBIP人力云是涵盖了人力资源管理全业务的数字化应用平台。'可以明确得出，用友YonBIP人力云的核心理念是覆盖核心人力资源管理与人才管理的一体化数字化平台(B选项)，因此回答准确性的分数为1。,1.0
30,用友YonBIP V3.0旗舰版私有云版本中，以下哪一项不是云平台提供的服务？,数字化建模,数据中台,低代码开发平台,人工智能助手,D,在<原文>中，提到了云平台下包含的服务有：数字化建模、数据中台、低代码开发平台。而D选项的人工智能助手并未在<原文>的云平台服务中提及，因此D选项是正确的。故<回答>中的D选项与<选择题>的正确答案相符，回答准确性得分为1。,1.0
31,用友YonBIP V3.0旗舰版私有云人力云产品的核心理念是什么？,提升人力资源管理的效率和质量,构建和运营全球领先的商业创新平台,商业创新，如此便捷,数智商业应用基础设施,A,"根据原文中的产品目标描述：""数智人力产品通过构建人力云领域的数据服务能力和智能服务能力，全面赋能企业的人力资源运营管理及人才管理，提升人力资源管理的效率和质量。""，可以明确看出A选项""提升人力资源管理的效率和质量""是用友YonBIP V3.0旗舰版私有云人力云产品的核心理念，因此回答A是正确的，准确度为1。",1.0
32,用友YonBIP全球司库产品面向哪种类型的企业提供服务？,中小企业,初创企业,大型企业,个体工商户,C,根据原文中的产品目标描述，全球司库产品旨在服务大型企业，因此选项C（大型企业）是正确的。,1.0
33,用友YonBIP人力云的核心理念是什么？,构建和运营全球领先的商业创新平台,赋能员工、激活组织,商业创新，如此便捷,平台化、中台化、生态化,B,根据原文中提到的'人力云 - 核心人力篇'内容，其产品理念明确表述为'赋能员工、激活组织'，因此选项B是正确的。,1.0
34,YonBIP制造云的核心目标客户是？,小型制造企业,多制造模式、多板块多工厂的大中型制造企业,服务行业企业,零售行业企业,B,根据原文第一章产品总述中的描述，YonBIP制造云的目标客户为多制造模式、多板块多工厂的大中型制造企业，因此选项B是正确的回答。,1.0
35,以下是用友公司供应链云篇202207公有云发版说明中提到的供应链云产品的核心目标之一：,实现供应链与各领域云深度融合，完善核心业务场景，实现供应链全移动应用,提供全球领先的商业创新平台,实现企业内部通信的无缝衔接,提升企业内部员工的个人技能,A,根据原文中产品目标的描述，'实现供应链与各领域云深度融合，完善核心业务场景，实现供应链全移动应用'确实是供应链云产品的核心目标之一，因此回答A是正确的。,1.0
36,用友YonBIP V3.0(R5_2312_1)旗舰版私有云发版说明中提到的组织管理架构不包括以下哪一项？,行政组织,人力管理组织,业务运营组织,人力业务组织,C,在原文中明确提到了组织管理架构包含行政组织、人力管理组织、人力业务组织，而业务运营组织并未在组织管理架构中提及，因此C选项（业务运营组织）是正确的答案。,1.0
37,新一代YonBIP监控中心的简称是什么？,YMC,YMP,YMN,YMM,A,根据原文中的描述：'新一代YonBIP监控中心，简称 YMC。' 可知，选择题中A选项（YMC）为正确答案，回答选择了A，故回答准确性为满分1。,1.0
38,"根据用友产品多语版本开发及发版规范,以下哪一项是正确的做法?",开发人员自行进行英文翻译以提高效率,将代码写死以确保多语版本的一致性,使用口语化的中文以适应不同用户的习惯,避免拼接词条以保持翻译后的语法正确性,D,根据<原文>中提到的规范，'避免拼接词条以保持翻译后的语法正确性'被明确指出是一个正确的做法。因此，<回答>中的选项D是<选择题>的正确答案，回答准确无误。,1.0
39,用友YonBIP V3.0(R5_2312_1)旗舰版私有云发版说明中提到的智能月结定位是什么？,为客户提供一站式智能月结服务,实现自动化财务报告生成,提供智能预算规划,优化日常财务审批流程,A,在<原文>中，智能月结的部分明确指出其定位是为客户提供一站式智能月结服务。因此，<回答>中的选项A与<选择题>的描述完全吻合，故回答准确性得分为满值1。,1.0
40,用友财务云-税务服务关注的是什么领域的管理？,人力资源管理,财务管理,客户关系管理,供应链管理,B,根据原文中提到的'用友财务云-税务服务是一个全国性税务服务平台，专注解决企业运营中涉及税务及发票的管理、核算、申报、风险管控等方面的难题'，可以明确看出用友财务云-税务服务关注的领域是财务管理，因此选项B是正确的。,1.0
41,以下是关于用友供应链云产品YonBIP的描述，哪一项是正确的？,YonBIP仅支持小型企业的供应链业务场景,YonBIP供应链云无法与采购云、营销云等其他领域云深度融合,YonBIP供应链云支持全移动应用，涵盖采购、销售、库存业务闭环,YonBIP供应链云不支持与第三方服务的快速融合,C,根据<原文>中'1.3 产品目标'章节描述，YonBIP供应链云的目标之一是实现供应链全移动应用，支持采购、销售、库存业务闭环，这与选择题中C选项所述内容完全吻合，因此<回答>C是正确的。,1.0
42,用友YonBIP V3.0旗舰版私有云版本主要提供了哪些系统的集成资产？,三方ERP、协同OA、电商ERP,ERP、CRM、SCM,人力资源管理系统、客户关系管理系统,供应链管理系统、生产管理系统,A,根据<原文>中提供的信息，用友YonBIP V3.0旗舰版私有云版本确实主要提供了三方ERP、协同OA、电商ERP系统的集成资产。这与<回答>中选择的A选项完全吻合，因此回答准确性得分为1。,1.0
43,用友数据中台的核心能力包括哪些？,数据资产的规划与治理、数据资产的采集、数据资产的共享和协作、数据业务价值的探索和分析、数据服务的构建、治理、度量和运营,数据采集、数据存储、数据处理、数据传输,数据清洗、数据建模、数据分析、数据可视化,数据挖掘、数据预测、数据优化、数据安全,A,根据原文中提到的用友数据中台的五大核心能力：数据资产的规划与治理，数据资产的采集、获取和存储，数据资产的共享和协作，数据业务价值的探索和分析，数据服务的构建、治理、度量和运营，选项A完全涵盖了这些核心能力，因此回答A是正确的。,1.0
44,用友YonBIP V3.0(R5_2312)YonSuite公有云发版说明中，财务云的企业绩效服务不包括以下哪一项？,企业绩效平台,企业报表,合并报表（标准版中）,预算执行控制（标准版中）,C,根据原文提供的产品范围表格，合并报表在标准版中并未提供，因此C选项（合并报表（标准版中））确实不属于用友YonBIP V3.0(R5_2312)YonSuite公有云发版说明中财务云的企业绩效服务的一部分，故回答C是正确的。,1.0
45,用友YonBIP V3.0(R5_2312)超级版公有云发版中，实现了与哪些第三方系统的数据集成？,"SAP-S4HANA, 钉钉, 浙大中控, 聚水潭","金蝶, 钉钉, 京东, 淘宝","SAP-S4HANA, 钉钉, 浙大中控, 京东物流","钉钉, 聚水潭, 亚马逊, SAP-S4HANA",A,"根据<原文>中的表格内容，用友YonBIP V3.0(R5_2312)超级版公有云发版确实实现了与SAP-S4HANA, 钉钉, 浙大中控, 聚水潭的集成，因此<回答>A是完全正确的。",1.0
46,YonBIP人力云的核心理念是什么？,提供单一功能的人力资源管理工具,聚焦于传统线下业务处理,仅服务于中小型企业的人力资源需求,通过数字化技术连接人与团队，赋能员工与激活组织,D,根据原文中的描述，'YonBIP人力云是涵盖了人力资源管理全业务的数字化应用平台。以赋能员工、激活组织为产品理念，通过数字化技术连接人与团队、人与信息，贯通线上与线下业务。' 这直接对应了选择题D选项的内容，因此回答D是完全正确的。,1.0
47,以下是用友公司供应链云服务的关键特性之一：,支持单组织形态和单地点经营,不支持供应链弹性扩展和业务快速复制,无法保持高效协同和敏捷供应在多组织形态和多地点经营的环境下,支持企业从单组织形态、单地点经营转向多组织形态、多地点经营的过程中保持高效协同和敏捷供应,D,在阅读了<原文>后，可以确认用友公司的供应链云服务确实支持企业从单组织形态、单地点经营转向多组织形态、多地点经营的过程中保持高效协同和敏捷供应，这与<D>选项所述完全吻合。因此，<回答>D是正确答案，故此项得分为1。,1.0
48,用友YonBIP V3.0(R5_2312)YonSuite公有云发版说明中，全球化服务不包括以下哪一项？,多语言、多时区、多格式设置,多币种、多汇率设置,会计、税务、劳务、安全等多制度框架,全球市场统一价格策略,D,根据<原文>中全球化服务的描述，明确提到了A. 多语言、多时区、多格式设置，B. 多币种、多汇率设置，C. 会计、税务、劳务、安全等多制度框架，但并未提及D. 全球市场统一价格策略。因此，<回答>中的D选项确实不是<选择题>中所列全球化服务的一部分，故<回答>是准确的，得分为1。,1.0
49,用友YonBIP V3.0(R5_2312_1)旗舰版私有云版本中，以下哪一项不是其全球化服务提供的功能？,多语言、多时区、多格式设置,多币种、多汇率设置,会计、税务、劳务、安全等多制度框架,全球实时天气预报服务,D,根据<原文>中对用友YonBIP V3.0(R5_2312_1)旗舰版私有云版本的全球化服务描述，明确列出了多语言、多时区、多格式设置，多币种、多汇率设置，以及会计、税务、劳务、安全等多制度框架作为其服务内容。而D选项‘全球实时天气预报服务’并未在<原文>中提及，因此可以确认D选项不是其全球化服务提供的功能。故<回答>选择了D，是正确的答案，因此回答准确性得分为1。,1.0
50,以下是用友公司供应链云服务的部分新增特性，哪一项不属于采购云新增功能？,支持退货订单协同流程,支持采购订单参照直运销售订单生单,移动端支持日常盘点单扫码,支持按照价格目录进行供应商匹配,C,根据原文中关于用友YonSuite202207公有云发版说明的描述，采购云新增功能包括：支持退货订单协同流程、支持采购订单参照直运销售订单生单、支持按照价格目录进行供应商匹配。而选项C（移动端支持日常盘点单扫码）并未提及在采购云的新增功能中，而是属于库存管理或移动应用的新增特性。因此，<回答>C是正确的，它不属于采购云新增功能。,1.0
51,用友YonBIP V3.0(R5_2312)超级版公有云在全球化服务中提供了哪些能力框架和服务？,多语言、多时区、多格式设置,多币种、多汇率支持,会计、税务、劳务、安全等多制度框架,所有选项都是,D,根据<原文>中提到的全球化服务包括多语言、多时区、多格式的设置，多币种，多汇率等全球化基础数据的提供，以及会计、税务、劳务、安全等多制度框架，可以确认<回答>D选项涵盖了<选择题>中的所有提及的能力框架和服务。因此，<回答>的选项D是正确的，回答准确性的分数为1。,1.0
52,用友YonBIP V3.0(R5_2312_1)旗舰版私有云发版中，三方集成资产的目标是什么？,实现YonBIP旗舰版和三方服务互联互通，帮助项目快速完成集成开发和实施，降低和三方服务集成的难度、成本。,提供单一的ERP解决方案,仅支持电商ERP系统集成,专注于内部系统优化，不涉及外部系统集成,A,根据<原文>中的'产品目标'描述，'实现YonBIP旗舰版和三方服务互联互通，帮助项目快速完成集成开发和实施，降低和三方服务集成的难度、成本。'与<A>选项完全匹配，因此<回答>选择A是正确的，故回答准确性得分为1。,1.0
53,YonBIP V3.0旗舰版私有云连接集成服务的核心功能不包括以下哪一项？,提供连接用友企业云服务、用友软件产品、第三方SaaS服务的混合云服务,提供API网关、数据集成、集成总线、主数据管理四大集成工具支撑,支持快速集成开发，降低集成难度和成本,支持企业内部传统应用程序的独立运行和维护,D,根据<原文>中提供的产品功能范围，明确指出YonBIP V3.0旗舰版私有云连接集成服务包含提供连接用友企业云服务、用友软件产品、第三方SaaS服务的混合云服务（A选项），提供API网关、数据集成、集成总线、主数据管理四大集成工具支撑（B选项），以及支持快速集成开发，降低集成难度和成本（C选项）。而D选项关于支持企业内部传统应用程序的独立运行和维护，并未在<原文>的功能描述中提及，因此D选项确实是<选择题>的正确答案。,1.0
54,用友YonBIP V3.0(R5_2312)超级版公有云发版中，实现了与哪些第三方系统的数据集成？,"SAP-S4HANA, 钉钉, 浙大中控, 聚水潭, 万里牛, 旺店通旗舰版, 旺店通企业版","Oracle EBS, 微信, 金蝶, 京东","Salesforce, 微软Dynamics, 广联达, 淘宝","Workday, 石墨, 用友U8, 阿里巴巴",A,"根据<原文>中的表格内容，明确列出了与用友YonBIP V3.0(R5_2312)超级版公有云发版实现数据集成的第三方系统，包括SAP-S4HANA, 钉钉, 浙大中控, 聚水潭, 万里牛, 旺店通旗舰版, 旺店通企业版。因此，<回答>A是正确的，完全符合<选择题>所问及<原文>提供的信息，故回答准确性得分为1。",1.0
55,用友YonBIP V3.0(R5_2312_1)旗舰版私有云发版说明中提到的绩效管理核心理念是什么？,通过数字化技术实现人力资源管理的全面数智化,提供单一的绩效考核方案,专注于传统人力资源管理,仅关注员工绩效而不涉及组织绩效,A,根据原文中的产品总述部分，'YonBIP人力云是涵盖了人力资源管理全业务的数字化应用平台。以赋能员工、激活组织为产品理念，通过数字化技术连接人与团队、人与信息，贯通线上与线下业务。通过新一代智能体验技术全时全方位赋能人与组织，运用AI辅助识别、机器人自动化技术、智能流程技术，服务人力资源业务全角色，实现管理的全面数智化。' 这段描述直接证明了'A. 通过数字化技术实现人力资源管理的全面数智化'是正确的答案。,1.0
56,用友数据中台的核心能力不包括以下哪一项？,数据资产的规划与治理,数据资产的采集、获取和存储,提供企业级社交网络服务,数据业务价值的探索和分析,C,根据原文中描述的用友数据中台的五大核心能力：数据资产的规划与治理，数据资产的采集、获取和存储，数据资产的共享和协作，数据业务价值的探索和分析，数据服务的构建、治理、度量和运营，可以看出选项A、B、D均属于数据中台的核心能力描述。而选项C（提供企业级社交网络服务）并未在原文中提及，因此C不是用友数据中台的核心能力，故回答C是正确的。,1.0
57,项目云的目标客户主要是？,成长型企业,大型企业,中小型企业,初创型企业,A,根据<原文>中'1.1概述 项目云基于角色和场景设计，为成长型企业数字化转型提供项目全生命周期管理服务。'的描述，可以确定项目云的目标客户主要是成长型企业，因此<A>选项是正确的，<回答>与<选择题>的正确答案相符，故回答准确性为1。,1.0
58,YonBIP的核心安全理念是什么?,构建和运营全球领先的商业创新平台,商业创新，如此便捷,确保用户数据安全和隐私保护是最重要的安全原则和战略方向,平台化、中台化、生态化,C,根据原文中提到的'用友对安全非常重视，把网络安全、数据安全、隐私保护作为公司业务和运营的底线要求，视用户数据安全和用户隐私保护为用友最重要的安全原则和战略方向'，可以判断C选项“确保用户数据安全和隐私保护是最重要的安全原则和战略方向”是正确的答案。,1.0
59,用友YonBIP财务云平台的核心技术特征不包括？,微服务,云原生,平台化,功能模块化,D,在提供的原始文本中，没有提到功能模块化作为用友YonBIP财务云平台的核心技术特征。文本中提到了基于微服务、云原生、以及平台化的架构，这些都是用友YonBIP财务云的技术特点，但是没有明确指出功能模块化是其核心技术特征之一。因此，D选项（功能模块化）不是用友YonBIP财务云平台的核心技术特征，回答正确。,1.0
60,用友数据中台的核心能力包括哪些？,数据资产的规划与治理、数据资产的采集、数据资产的共享和协作、数据业务价值的探索和分析、数据服务的构建、治理、度量和运营,数据采集、数据存储、数据处理、数据传输,数据清洗、数据建模、数据分析、数据可视化,数据挖掘、数据预测、数据优化、数据安全,A,根据原文中描述的用友数据中台的核心能力，包括数据资产的规划与治理、数据资产的采集、数据资产的共享和协作、数据业务价值的探索和分析、数据服务的构建、治理、度量和运营等内容，A选项完全覆盖了这些能力，因此是正确的。,1.0
61,以下是关于用友供应链云服务的描述，哪一项是正确的？,YonSuite仅支持单地点经营的企业供应链管理,供应链云服务无法实现产供销、业财税一体化,供应链云服务不支持企业内外部协同,通过OpenAPI可以快速实现与第三方服务融合，实现供应链业务闭环,D,根据<原文>中'通过OpenAPI可以快速实现与第三方服务融合，实现供应链业务闭环'的描述，<回答>D是正确的。,1.0
62,用友软件集团提供的一系列云服务产品中，专注于企业财务管理的是哪一项？,YonSuite,U9cloud,财务云,供应链云,C,在提供的<原文>中，并没有提到用友软件集团的云服务产品具体有哪些，更没有指出专注于企业财务管理的是哪一项服务。因此，无法通过<原文>验证<回答>的正确性。由于<回答>没有被<原文>内容所支持，故回答准确性得分为0。,0.0
63,项目云的目标客户是什么类型的企业？,成长型企业,大型企业,初创企业,中小型企业,A,根据原文中的描述，'项目云的目标客户是什么类型的企业？'的答案可以从'项目云基于角色和场景设计，为成长型企业数字化转型提供项目全生命周期管理服务。'一句得出，目标客户是成长型企业，因此选项A是正确的。,1.0
